Date,XOM,COP,FCX,NEM,ADM,SPY,CPER,DBA,GLD,USO,^IRX
2016-01-04,49.0023078918457,33.74831008911133,5.899162769317627,14.377485275268555,26.0594539642334,169.4715576171875,13.859999656677246,17.54429817199707,102.88999938964844,87.83999633789062,0.1550000011920929
2016-01-05,49.41984176635742,34.122642517089844,6.043265342712402,14.36188793182373,26.350299835205078,169.75819396972656,13.859999656677246,17.43255043029785,103.18000030517578,85.27999877929688,0.20499999821186066
2016-01-06,49.0086669921875,32.646873474121094,5.55692195892334,14.471040725708008,25.71043586730957,167.61683654785156,13.90999984741211,17.31220817565918,104.66999816894531,80.87999725341797,0.20499999821186066
2016-01-07,48.224205017089844,31.718217849731445,5.0525665283203125,14.704951286315918,25.09967613220215,163.59539794921875,13.449999809265137,17.243438720703125,106.1500015258789,79.19999694824219,0.1899999976158142
2016-01-08,47.249969482421875,31.163904190063477,4.872438430786133,14.042217254638672,25.005146026611328,161.79971313476562,13.4399995803833,17.303611755371094,105.68000030517578,78.4000015258789,0.1899999976158142
2016-01-11,46.617366790771484,29.60176658630371,3.881739854812622,13.26252555847168,24.837909698486328,161.9599151611328,13.170000076293945,17.045732498168945,104.73999786376953,74.0,0.17499999701976776
2016-01-12,47.572608947753906,28.97545623779297,3.7016122341156006,13.26252555847168,24.917896270751953,163.2666473388672,13.0600004196167,17.148887634277344,104.20999908447266,73.36000061035156,0.20999999344348907
2016-01-13,47.857295989990234,28.075597763061523,3.368377685546875,13.628981590270996,24.336217880249023,159.1946563720703,12.989999771118164,17.191864013671875,104.72000122070312,72.72000122070312,0.2150000035762787
2016-01-14,50.052459716796875,29.695348739624023,3.782670259475708,13.465245246887207,24.256235122680664,161.80813598632812,13.130000114440918,17.183269500732422,103.0199966430664,73.83999633789062,0.23999999463558197
2016-01-15,49.07823944091797,28.334753036499023,3.9177651405334473,13.800511360168457,22.911087036132812,158.3347625732422,12.970000267028809,17.16607666015625,104.08000183105469,70.31999969482422,0.22300000488758087
2016-01-19,48.33174514770508,26.203882217407227,3.5665175914764404,12.716742515563965,22.18398666381836,158.5454864501953,14.390000343322754,17.25203514099121,103.9800033569336,67.91999816894531,0.23000000417232513
2016-01-20,46.29473114013672,25.01607894897461,3.6655867099761963,12.911663055419922,22.751123428344727,156.51377868652344,13.239999771118164,17.0113525390625,105.37000274658203,65.91999816894531,0.2529999911785126
2016-01-21,46.87672805786133,26.571043014526367,3.899752140045166,13.013028144836426,23.209203720092773,157.3905487060547,13.210000038146973,17.20046043395996,105.48999786376953,68.4800033569336,0.27300000190734863
2016-01-22,48.439300537109375,27.118144989013672,3.548504590988159,13.005229949951172,24.161712646484375,160.61949157714844,13.350000381469727,17.303611755371094,105.0,74.16000366210938,0.2879999876022339
2016-01-25,46.80082321166992,24.620128631591797,3.548504590988159,13.777124404907227,23.580020904541016,158.19140625,13.279999732971191,17.27782440185547,106.08000183105469,68.31999969482422,0.2750000059604645
2016-01-26,48.52151870727539,25.448001861572266,3.782670259475708,14.424263954162598,24.452545166015625,160.34967041015625,13.470000267028809,17.303611755371094,107.29000091552734,71.76000213623047,0.30000001192092896
2016-01-27,47.629554748535156,26.067115783691406,4.187954425811768,15.157174110412598,24.532529830932617,158.6045379638672,13.619999885559082,17.27782440185547,107.69000244140625,73.44000244140625,0.30000001192092896
2016-01-28,48.704994201660156,27.37010955810547,3.9808096885681152,15.227346420288086,25.230552673339844,159.4307403564453,13.619999885559082,17.217655181884766,106.54000091552734,77.5999984741211,0.3179999887943268
2016-01-29,49.24905014038086,28.133190155029297,4.1429219245910645,15.56261157989502,25.703161239624023,163.31724548339844,13.619999885559082,17.183269500732422,106.94999694824219,77.19999694824219,0.30000001192092896
2016-02-01,48.26216506958008,27.78763771057129,4.269011974334717,16.022624969482422,25.78314971923828,163.25820922851562,13.720000267028809,17.26063346862793,108.05000305175781,72.16000366210938,0.29499998688697815
2016-02-02,47.18671417236328,26.340662002563477,3.9177651405334473,15.648384094238281,23.529123306274414,160.31590270996094,13.5600004196167,17.23484230041504,108.08999633789062,68.55999755859375,0.33000001311302185
2016-02-03,49.64759063720703,27.80923843383789,4.368083477020264,17.418272018432617,24.31440544128418,161.27703857421875,13.5600004196167,17.303611755371094,109.25,74.72000122070312,0.3330000042915344
2016-02-04,50.501625061035156,25.426416397094727,5.151635646820068,18.22915267944336,24.903352737426758,161.52996826171875,14.09000015258789,17.217655181884766,110.56999969482422,72.95999908447266,0.28299999237060547
2016-02-05,50.65977096557617,23.68428611755371,5.115610599517822,19.03223419189453,24.772470474243164,158.4528045654297,13.850000381469727,17.123096466064453,112.31999969482422,71.27999877929688,0.27799999713897705
2016-02-08,51.34299087524414,24.78571319580078,4.746349334716797,19.640390396118164,24.21260643005371,156.31983947753906,13.890000343322754,17.00275421142578,113.83000183105469,69.12000274658203,0.25999999046325684
2016-02-09,51.11956787109375,24.173809051513672,4.503177165985107,18.94646453857422,24.41619873046875,156.32827758789062,13.510000228881836,16.942581176757812,113.58000183105469,65.44000244140625,0.30000001192092896
2016-02-10,50.653564453125,23.281150817871094,4.485165596008301,18.95426368713379,24.125356674194336,156.19342041015625,13.220000267028809,16.95117950439453,114.45999908447266,63.68000030517578,0.2980000078678131
2016-02-11,50.81315231323242,23.128795623779297,4.404106616973877,19.523439407348633,23.20817756652832,154.16162109375,13.380000114440918,16.873815536499023,119.05999755859375,63.91999816894531,0.27300000190734863
2016-02-12,51.72600173950195,23.868803024291992,4.980515003204346,20.100406646728516,23.809844970703125,157.3399200439453,13.489999771118164,16.93398666381836,118.36000061035156,66.63999938964844,0.27000001072883606
2016-02-16,51.847293853759766,23.767229080200195,5.7370500564575195,19.149187088012695,24.668317794799805,159.99560546875,13.489999771118164,17.071523666381836,114.7699966430664,66.4800033569336,0.27300000190734863
2016-02-17,52.34519958496094,24.60155487060547,6.448550224304199,19.36749839782715,24.506898880004883,162.6090545654297,13.829999923706055,17.114501953125,115.4800033569336,70.23999786376953,0.2930000126361847
2016-02-18,52.63247299194336,24.44919204711914,6.439545154571533,19.546833038330078,24.87377166748047,161.9430694580078,13.819999694824219,17.071523666381836,118.29000091552734,69.27999877929688,0.2879999876022339
2016-02-19,52.66439437866211,23.847036361694336,6.232397556304932,19.36749839782715,23.95659828186035,161.86720275878906,13.789999961853027,17.00275421142578,117.58000183105469,68.4000015258789,0.28299999237060547
2016-02-22,52.59416961669922,24.993318557739258,7.142041206359863,19.585819244384766,24.793062210083008,164.2108612060547,14.140000343322754,17.140289306640625,115.48999786376953,71.27999877929688,0.2930000126361847
2016-02-23,51.85368347167969,23.883310317993164,6.520601749420166,19.796329498291016,24.793062210083008,162.13697814941406,14.0600004196167,17.183269500732422,117.22000122070312,67.83999633789062,0.3179999887943268
2016-02-24,52.038795471191406,23.912321090698242,6.4845757484436035,19.944469451904297,24.837080001831055,162.8788299560547,14.119999885559082,17.22624969482422,117.61000061035156,68.72000122070312,0.3149999976158142
2016-02-25,52.35159683227539,23.984886169433594,6.412524700164795,20.154983520507812,25.40205955505371,164.85162353515625,13.84000015258789,17.20046043395996,117.91999816894531,70.4000015258789,0.3100000023841858
2016-02-26,52.18562316894531,24.75390625,6.691723346710205,19.76514434814453,25.526784896850586,164.47218322753906,14.100000381469727,17.16607666015625,117.11000061035156,70.23999786376953,0.30300000309944153
2016-02-29,51.16425704956055,24.54351043701172,6.871850967407227,20.13939094543457,25.651538848876953,163.18234252929688,14.09000015258789,17.16607666015625,118.63999938964844,72.0,0.30799999833106995
2016-03-01,51.88558578491211,25.00057601928711,6.988934516906738,19.796329498291016,26.0330753326416,167.01828002929688,14.289999961853027,17.123096466064453,117.7699966430664,73.19999694824219,0.3199999928474426
2016-03-02,52.79205322265625,26.47333335876465,8.078702926635742,20.459068298339844,26.28989028930664,167.76858520507812,14.460000038146973,17.174671173095703,118.68000030517578,74.4000015258789,0.30300000309944153
2016-03-03,52.600555419921875,27.975109100341797,8.204788208007812,20.911283493041992,27.02362632751465,168.42613220214844,14.680000305175781,17.303611755371094,120.7300033569336,74.0,0.2630000114440918
2016-03-04,52.53034591674805,29.832372665405273,8.77219009399414,20.357704162597656,27.625286102294922,168.97415161132812,14.989999771118164,17.501317977905273,120.54000091552734,77.19999694824219,0.26499998569488525
2016-03-07,53.91557312011719,30.0355167388916,8.880266189575195,20.685176849365234,27.251079559326172,169.1090545654297,15.149999618530273,17.49272346496582,121.13999938964844,80.87999725341797,0.26499998569488525
2016-03-08,52.74737548828125,28.018638610839844,7.799504280090332,20.20520782470703,26.436628341674805,167.26272583007812,14.779999732971191,17.54429817199707,120.58000183105469,77.19999694824219,0.3050000071525574
